,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
56,2023-02-28 22:55:50+00:00,https://twitter.com/diamond885fm/status/1630703351980539924,diamond885fm,Twitter for Android,"Ilesa, Osun State, Nigeria","2023 Presidential election results as uploaded by the independent electoral commission (INEC)

#2023GeneralElections #NigeriaDecides2023 
https://t.co/ZkSjYBwQO1",0,0,0,0
57,2023-02-28 22:55:40+00:00,https://twitter.com/simongodswill2/status/1630703310024896519,simongodswill2,Twitter for Android,,"Everything happening as planned
#2023GeneralElections #electionresults2023 #rigged https://t.co/jvzh7PMit8",5,0,0,1
58,2023-02-28 22:53:48+00:00,https://twitter.com/Sam_africa001/status/1630702837574381568,Sam_africa001,Twitter for Android,,"Tribalism  and bigotry wouldn't 't take us anywhere ,we are bettert as one🇳🇬💪🏾✊🏾 #2023GeneralElections #electionresults2023 #INECElectionResult #North $o

#Obi4president https://t.co/qgIWJvlOIU",1,0,0,0
59,2023-02-28 22:50:51+00:00,https://twitter.com/Kaykluba/status/1630702096369475586,Kaykluba,Twitter for iPhone,Lagos Nigeria,"Through powerful visuals and uplifting music, we are reminded that even in defeat, we must never lose hope and for a better future. Let's come together as a nation, to support him, and work towards a brighter tomorrow. #2023GeneralElections #ElectionResults #INECElectionResult https://t.co/Xe3lIX0n7M",15,4,1,1
60,2023-02-28 22:50:40+00:00,https://twitter.com/salimpotter/status/1630702051930918912,salimpotter,Twitter for Android,Hogwarts,"Unpopular opinion: Atiku and his supporters are the only ones who played by the rules in the #2023GeneralElections but we're not ready for that conversation.

Was it naivety or hope in the electoral process? I don't know.",7,2,0,0
61,2023-02-28 22:50:15+00:00,https://twitter.com/panachefm/status/1630701947656237056,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Ice Prince - KOLO (feat. Oxlade) [Official Video]
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
62,2023-02-28 22:45:05+00:00,https://twitter.com/KAFTAN_TV/status/1630700644938940416,KAFTAN_TV,Twitter Web App,,"NATIONAL COLLATION CENTRE: RIVERS STATE PRESIDENTIAL RESULTS

#electionresults2023 #INECElectionResult #2023GeneralElections #Presidentialelection2023  #ElectionResults #Inecresults #2023GeneralElections #NigeriaElections2023  #BVAS https://t.co/gdBEN7O3ww",2,1,0,1
63,2023-02-28 22:43:25+00:00,https://twitter.com/BalogunTaiwoAz1/status/1630700226632663046,BalogunTaiwoAz1,Twitter for Android,,#2023GeneralElections,0,0,0,0
64,2023-02-28 22:42:19+00:00,https://twitter.com/iq_telecomboss/status/1630699948927852545,iq_telecomboss,Twitter Web App,"Warri, Nigeria","INEC on hot sit 
Who will be the next president of Nigeria ( INEC : no answer ) let's call a friend 😹( Hello Nigerian Youth, who do you think will be the next president of Nigeria) Nigerian youth answer in chorus (OBI ) 😹
#LPandAPC 
#2023GeneralElections 
 #INECElectionResult https://t.co/ZPbBs1oeRA",7,1,0,1
65,2023-02-28 22:41:24+00:00,https://twitter.com/Vulfgang_Nwaruh/status/1630699717611905026,Vulfgang_Nwaruh,Twitter for iPhone,,"Instead of Wahala to happen,
Make INEC kukuma Announce the three aspirants as winners.
OBI go rule for MORNING. 
ATIKU for AFTERNOON. 
TINUBU for NIGHT as bat wey him be.

 #electionresults2023
 #presidentialelection2023
 #Davido
 #INECElectionResult
 #2023GeneralElections https://t.co/FsRnCt7pA5",13,1,0,2
66,2023-02-28 22:38:51+00:00,https://twitter.com/demmyow/status/1630699075103277062,demmyow,Twitter for Android,Earth,"To reconvene at 11PM. Ok! Now it's way past 11PM. You can't just keep 200million (+X) Nigerians waiting...

#2023GeneralElections",0,0,0,0
67,2023-02-28 22:38:23+00:00,https://twitter.com/NatashaAkpoti/status/1630698958942097410,NatashaAkpoti,Twitter for iPhone,Nigeria ,@ElYass_Okene @inecnigeria You are right. Here’s my original copy. First APC changed 18 to 98 (see words) . Then decided to reduce my 359 to 146 and increase theirs to 31 . @inecnigeria review Kogi Central result now . #2023GeneralElections,8,3,0,2
68,2023-02-28 22:37:15+00:00,https://twitter.com/udombiokporo/status/1630698674102599680,udombiokporo,Twitter for Android,"Lagos, Nigeria","Caught On Camera 📸

Chairman of Adavi LGA in Kogi State, Joseph Salami caught destroying ballot papers with PDP votes.

@inecnigeria @PoliceNG @OfficialPDPNig
#2023Election #2023GeneralElections https://t.co/BIKeBys1kD",9,3,2,0
69,2023-02-28 22:37:02+00:00,https://twitter.com/SidiSudais/status/1630698619211857929,SidiSudais,Twitter for Android,"Sokoto, Nigeria","It's a high time for @officialABAT to know that the Northerners are his true lovers, and should sincerely work tirelessly on improving the North after his emergence!
#2023GeneralElections 
#NigeriaDecides2023",4,1,0,2
70,2023-02-28 22:34:20+00:00,https://twitter.com/panachefm/status/1630697940418277376,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Burna Boy - 23 [Official Audio]
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
71,2023-02-28 22:33:46+00:00,https://twitter.com/Officialle_ACE/status/1630697795882475520,Officialle_ACE,Twitter for Android,,"@PoliceNG please can you look into the allegations of torture and election rigging against Gov. Wike of rivers state.🙏🏾
Let's not allow Nigeria remain like this, please.

#2023GeneralElections",0,0,0,0
72,2023-02-28 22:32:20+00:00,https://twitter.com/Advocates4BG/status/1630697437533728771,Advocates4BG,Twitter for Android,Nigeria,"More details on the arrest of BVAS syndicates who aided in rigging #2023GeneralElections

We are our own problem.

Obi and Atiku | 25% of FCT | FCT 25% | rigging | igbo | yoruba | jonathan | Rivers | PU by PU | President Elect | Game Over | Amaechi | 24 States #Davido https://t.co/50ImbkDKp7",7,3,1,0
73,2023-02-28 22:31:45+00:00,https://twitter.com/umukoroisaac7/status/1630697289948733445,umukoroisaac7,Twitter Web App,,"Waiting to say Congratulations to the Obedient ,God will perform the miracle wen the enimies are asleep #2023GeneralElections",2,0,0,0
74,2023-02-28 22:30:45+00:00,https://twitter.com/presh_obidatti/status/1630697039083216896,presh_obidatti,Twitter for Android,,"If you ever feel useless, remember the Nigerians in big brother thinking they are trending. 🥺✨ 

#2023GeneralElections  #BBTaitans #electionresults2023",4,0,0,1
75,2023-02-28 22:30:02+00:00,https://twitter.com/Shafii_m_Abdul/status/1630696857985855490,Shafii_m_Abdul,Twitter for iPhone,"Capetown,SouthAfrica 🇿🇦","Ah omo the other parties in Nigeria that paid 100m naira for presidency form…definitely and doubtlessly knowing they can’t win… then why wasting the 100m ?
#2023GeneralElections 
#INECElectionResult 
#ElectionResult",2,1,0,1
76,2023-02-28 22:28:55+00:00,https://twitter.com/presh_obidatti/status/1630696577944674305,presh_obidatti,Twitter for Android,,"""When a thief encourages you to go to court, just know that his elder brother is the judge""
~ East African proverb 🚶 🚶 🚶

#2023GeneralElections  #INECElectionResults",0,0,0,0
77,2023-02-28 22:28:15+00:00,https://twitter.com/OriginalTedi/status/1630696410822606851,OriginalTedi,Twitter for iPhone,,Me still waiting for election result  #2023GeneralElections https://t.co/JnRrjFURjc,2,1,0,0
78,2023-02-28 22:23:25+00:00,https://twitter.com/NatashaAkpoti/status/1630695193249808385,NatashaAkpoti,Twitter for iPhone,Nigeria ,"Caught On Camera 📸

Chairman of Adavi LGA in Kogi State, Joseph Salami caught destroying ballot papers with PDP votes.

@inecnigeria review Kogi Central Senatorial election results and declare Natasha Akpoti Uduaghan as the rightful candidate.
#2023Election #2023GeneralElections https://t.co/uETDGjb7uB",3818,4918,502,402
79,2023-02-28 22:22:22+00:00,https://twitter.com/NewsOneNG/status/1630694927884595200,NewsOneNG,Twitter Web App,Nigeria,"#BREAKING: House of Reps Majority Leader, Ado Doguwa Arrested 
#2023GeneralElections #electionresults2023 
#NigerianElections2023 #presidentialelection2023
https://t.co/YWiMWiTZvb",2,0,0,0
80,2023-02-28 22:21:49+00:00,https://twitter.com/JoshuaMishi/status/1630694790210756610,JoshuaMishi,Twitter for iPhone,"Abuja, Nigeria","Here’s the Criteria to be used by @inecnigeria in declaring a winner in the #2023GeneralElections.

Who is your proposed winner?? 🤔
Me: @PeterObi 

#electionresults2023 #ElectionResults 
#labourpartynigeria https://t.co/IEvi4eX4LN",5,2,0,0
81,2023-02-28 22:21:36+00:00,https://twitter.com/Princee_wil/status/1630694735810576384,Princee_wil,Twitter for iPhone,,"#INECElectionResult THE INEC CHAIRMAN SHOULD JUST TELL US WHO IS THE PRESIDENT OF NIGERIA. WE ARE TIRED OF HEARING, ONE MILLIYAN EIGHT HANDIRED AND SEBUNTY POOR THOUSAND NAN HANDIRED AND PIPTY TWO BOTES.

#electionresults2023 #2023GeneralElections",4,1,0,0
82,2023-02-28 22:16:51+00:00,https://twitter.com/lordsamjy/status/1630693542036140032,lordsamjy,Twitter for Android,Africa,"February just get as e be.
#2023GeneralElections",1,0,0,0
83,2023-02-28 22:15:06+00:00,https://twitter.com/Badamas08739063/status/1630693098123608068,Badamas08739063,Twitter for Android,,#2023GeneralElections,0,0,0,0
84,2023-02-28 22:13:20+00:00,https://twitter.com/amad_alkali/status/1630692655070953473,amad_alkali,Twitter for Android,,"Soyayyar da kanawa suke yiwa Abba gida gida tafi soyayyar da Zamfarawa da katsinawa suke yiwa taliya 🙉🙈
#2023GeneralElections",1,0,0,0
